"","mpg","engine","weight","year","cylinder","american"
"105",18,225,3121,73,6,1
"106",16,250,3278,73,6,1
"107",18,232,2945,73,6,1
"108",18,250,3021,73,6,1
"109",23,198,2904,73,6,1
"110",26,97,1950,73,4,0
"111",11,400,4997,73,8,1
"112",12,400,4906,73,8,1
"113",13,360,4654,73,8,1
"114",12,350,4499,73,8,1
"115",18,232,2789,73,6,1
"116",20,97,2279,73,4,0
"117",21,140,2401,73,4,1
"118",22,108,2379,73,4,0
"119",18,70,2124,73,3,0
"120",19,122,2310,73,4,1
"121",21,155,2472,73,6,1
"122",26,98,2265,73,4,0
"123",15,350,4082,73,8,1
"124",16,400,4278,73,8,1
"125",29,68,1867,73,4,0
"126",24,116,2158,73,4,0
"127",20,114,2582,73,4,0
"128",19,121,2868,73,4,0
"129",15,318,3399,73,8,1
"130",24,121,2660,73,4,0
"131",20,156,2807,73,6,0
"132",11,350,3664,73,8,1
"133",20,198,3102,74,6,1
"134",21,200,2875,74,6,1
"135",19,232,2901,74,6,1
"136",15,250,3336,74,6,1
"137",31,79,1950,74,4,0
"138",26,122,2451,74,4,1
"139",32,71,1836,74,4,0
"140",25,140,2542,74,4,1
"141",16,250,3781,74,6,1
"142",16,258,3632,74,6,1
"143",18,225,3613,74,6,1
"144",16,302,4141,74,8,1
"145",13,350,4699,74,8,1
"146",14,318,4457,74,8,1
"147",14,302,4638,74,8,1
"148",14,304,4257,74,8,1
"149",29,98,2219,74,4,0
"150",26,79,1963,74,4,0
"151",26,97,2300,74,4,0
"152",31,76,1649,74,4,0
"153",32,83,2003,74,4,0
"154",28,90,2125,74,4,1
"155",24,90,2108,74,4,0
"156",26,116,2246,74,4,0
"157",24,120,2489,74,4,0
"158",26,108,2391,74,4,0
"159",31,79,2000,74,4,0
"160",19,225,3264,75,6,1
"161",18,250,3459,75,6,1
"162",15,250,3432,75,6,1
"163",15,250,3158,75,6,1
"164",16,400,4668,75,8,1
"165",15,350,4440,75,8,1
"166",16,318,4498,75,8,1
"167",14,351,4657,75,8,1
"168",17,231,3907,75,6,1
"169",16,250,3897,75,6,1
"170",15,258,3730,75,6,1
"171",18,225,3785,75,6,1
"172",21,231,3039,75,6,1
"173",20,262,3221,75,8,1
"174",13,302,3169,75,8,1
"175",29,97,2171,75,4,0
"176",23,140,2639,75,4,1
"177",20,232,2914,75,6,1
"178",23,140,2592,75,4,1
"179",24,134,2702,75,4,0
"180",25,90,2223,75,4,0
"181",24,119,2545,75,4,0
"182",18,171,2984,75,6,1
"183",29,90,1937,75,4,0
"184",19,232,3211,75,6,1
"185",23,115,2694,75,4,0
"186",23,120,2957,75,4,0
"187",22,121,2945,75,4,0
"188",25,121,2671,75,4,0
"189",33,91,1795,75,4,0
"190",28,107,2464,76,4,0
"191",25,116,2220,76,4,0
"192",25,140,2572,76,4,1
"193",26,98,2255,76,4,1
"194",27,101,2202,76,4,0
"195",17.5,305,4215,76,8,1
"196",16,318,4190,76,8,1
"197",15.5,304,3962,76,8,1
"198",14.5,351,4215,76,8,1
"199",22,225,3233,76,6,1
"200",22,250,3353,76,6,1
"201",24,200,3012,76,6,1
"202",22.5,232,3085,76,6,1
"203",29,85,2035,76,4,1
"204",24.5,98,2164,76,4,1
"205",29,90,1937,76,4,0
"206",33,91,1795,76,4,0
"207",20,225,3651,76,6,1
"208",18,250,3574,76,6,1
"209",18.5,250,3645,76,6,1
"210",17.5,258,3193,76,6,1
"211",29.5,97,1825,76,4,0
"212",32,85,1990,76,4,0
"213",28,97,2155,76,4,0
"214",26.5,140,2565,76,4,1
"215",20,130,3150,76,4,0
"216",13,318,3940,76,8,1
"217",19,120,3270,76,4,0
"218",19,156,2930,76,6,0
"219",16.5,168,3820,76,6,0
"220",16.5,350,4380,76,8,1
"221",13,350,4055,76,8,1
"222",13,302,3870,76,8,1
"223",13,318,3755,76,8,1
"224",31.5,98,2045,77,4,0
"225",30,111,2155,77,4,1
"226",36,79,1825,77,4,0
"227",25.5,122,2300,77,4,1
"228",33.5,85,1945,77,4,0
"229",17.5,305,3880,77,8,1
"230",17,260,4060,77,8,1
"231",15.5,318,4140,77,8,1
"232",15,302,4295,77,8,1
"233",17.5,250,3520,77,6,1
"234",20.5,231,3425,77,6,1
"235",19,225,3630,77,6,1
"236",18.5,250,3525,77,6,1
"237",16,400,4220,77,8,1
"238",15.5,350,4165,77,8,1
"239",15.5,400,4325,77,8,1
"240",16,351,4335,77,8,1
"241",29,97,1940,77,4,0
"242",24.5,151,2740,77,4,1
"243",26,97,2265,77,4,0
"244",25.5,140,2755,77,4,1
"245",30.5,98,2051,77,4,1
"246",33.5,98,2075,77,4,1
"247",30,97,1985,77,4,0
"248",30.5,97,2190,77,4,0
"249",22,146,2815,77,6,0
"250",21.5,121,2600,77,4,0
"251",21.5,80,2720,77,3,0
"252",43.1,90,1985,78,4,0
"253",36.1,98,1800,78,4,1
"254",32.8,78,1985,78,4,0
"255",39.4,85,2070,78,4,0
"256",36.1,91,1800,78,4,0
"257",19.9,260,3365,78,8,1
"258",19.4,318,3735,78,8,1
"259",20.2,302,3570,78,8,1
"260",19.2,231,3535,78,6,1
"261",20.5,200,3155,78,6,1
"262",20.2,200,2965,78,6,1
"263",25.1,140,2720,78,4,1
"264",20.5,225,3430,78,6,1
"265",19.4,232,3210,78,6,1
"266",20.6,231,3380,78,6,1
"267",20.8,200,3070,78,6,1
"268",18.6,225,3620,78,6,1
"269",18.1,258,3410,78,6,1
"270",19.2,305,3425,78,8,1
"271",17.7,231,3445,78,6,1
"272",18.1,302,3205,78,8,1
"273",17.5,318,4080,78,8,1
"274",30,98,2155,78,4,1
"275",27.5,134,2560,78,4,0
"276",27.2,119,2300,78,4,0
"277",30.9,105,2230,78,4,1
"278",21.1,134,2515,78,4,0
"279",23.2,156,2745,78,4,1
"280",23.8,151,2855,78,4,1
"281",23.9,119,2405,78,4,0
"282",20.3,131,2830,78,5,0
"283",17,163,3140,78,6,0
"284",21.6,121,2795,78,4,0
"285",16.2,163,3410,78,6,0
"286",31.5,89,1990,78,4,0
"287",29.5,98,2135,78,4,0
"288",21.5,231,3245,79,6,1
"289",19.8,200,2990,79,6,1
"290",22.3,140,2890,79,4,1
"291",20.2,232,3265,79,6,1
"292",20.6,225,3360,79,6,1
"293",17,305,3840,79,8,1
"294",17.6,302,3725,79,8,1
"295",16.5,351,3955,79,8,1
"296",18.2,318,3830,79,8,1
"297",16.9,350,4360,79,8,1
"298",15.5,351,4054,79,8,1
"299",19.2,267,3605,79,8,1
"300",18.5,360,3940,79,8,1
"301",31.9,89,1925,79,4,0
"302",34.1,86,1975,79,4,0
"303",35.7,98,1915,79,4,1
"304",27.4,121,2670,79,4,1
"305",25.4,183,3530,79,5,0
"306",23,350,3900,79,8,1
"307",27.2,141,3190,79,4,0
"308",23.9,260,3420,79,8,1
"309",34.2,105,2200,79,4,1
"310",34.5,105,2150,79,4,1
"311",31.8,85,2020,79,4,0
"312",37.3,91,2130,79,4,0
"313",28.4,151,2670,79,4,1
"314",28.8,173,2595,79,6,1
"315",26.8,173,2700,79,6,1
"316",33.5,151,2556,79,4,1
"317",41.5,98,2144,80,4,0
"318",38.1,89,1968,80,4,0
"319",32.1,98,2120,80,4,1
"320",37.2,86,2019,80,4,0
"321",28,151,2678,80,4,1
"322",26.4,140,2870,80,4,1
"323",24.3,151,3003,80,4,1
"324",19.1,225,3381,80,6,1
"325",34.3,97,2188,80,4,0
"326",29.8,134,2711,80,4,0
"327",31.3,120,2542,80,4,0
"328",37,119,2434,80,4,0
"329",32.2,108,2265,80,4,0
"330",46.6,86,2110,80,4,0
"331",27.9,156,2800,80,4,1
"332",40.8,85,2110,80,4,0
"333",44.3,90,2085,80,4,0
"334",43.4,90,2335,80,4,0
"335",36.4,121,2950,80,5,0
"336",30,146,3250,80,4,0
"337",44.6,91,1850,80,4,0
"338",40.9,85,1835,80,4,0
"339",33.8,97,2145,80,4,0
"340",29.8,89,1845,80,4,0
"341",32.7,168,2910,80,6,0
"342",23.7,70,2420,80,3,0
"343",35,122,2500,80,4,0
"344",23.6,140,2905,80,4,1
"345",32.4,107,2290,80,4,0
"346",27.2,135,2490,81,4,1
"347",26.6,151,2635,81,4,1
"348",25.8,156,2620,81,4,1
"349",23.5,173,2725,81,6,1
"350",30,135,2385,81,4,1
"351",39.1,79,1755,81,4,0
"352",39,86,1875,81,4,1
"353",35.1,81,1760,81,4,0
"354",32.3,97,2065,81,4,0
"355",37,85,1975,81,4,0
"356",37.7,89,2050,81,4,0
"357",34.1,91,1985,81,4,0
"358",34.7,105,2215,81,4,1
"359",34.4,98,2045,81,4,1
"360",29.9,98,2380,81,4,1
"361",33,105,2190,81,4,0
"362",34.5,100,2320,81,4,0
"363",33.7,107,2210,81,4,0
"364",32.4,108,2350,81,4,0
"365",32.9,119,2615,81,4,0
"366",31.6,120,2635,81,4,0
"367",28.1,141,3230,81,4,0
"368",NA,121,2800,81,4,0
"369",30.7,145,3160,81,6,0
"370",25.4,168,2900,81,6,0
"371",24.2,146,2930,81,6,0
"372",22.4,231,3415,81,6,1
"373",26.6,350,3725,81,8,1
"374",20.2,200,3060,81,6,1
"375",17.6,225,3465,81,6,1
"376",28,112,2605,82,4,1
"377",27,112,2640,82,4,1
"378",34,112,2395,82,4,1
"379",31,112,2575,82,4,1
"380",29,135,2525,82,4,1
"381",27,151,2735,82,4,1
"382",24,140,2865,82,4,1
"383",23,151,3035,82,4,1
"384",36,105,1980,82,4,0
"385",37,91,2025,82,4,0
"386",31,91,1970,82,4,0
"387",38,105,2125,82,4,1
"388",36,98,2125,82,4,1
"389",36,120,2160,82,4,0
"390",36,107,2205,82,4,0
"391",34,108,2245,82,4,0
"392",38,91,1965,82,4,0
"393",32,91,1965,82,4,0
"394",38,91,1995,82,4,0
"395",25,181,2945,82,6,1
"396",38,262,3015,82,6,1
"397",26,156,2585,82,4,1
"398",22,232,2835,82,6,1
"399",32,144,2665,82,4,0
"400",36,135,2370,82,4,1
"401",27,151,2950,82,4,1
"402",27,140,2790,82,4,1
"403",44,97,2130,82,4,0
"404",32,135,2295,82,4,1
"405",28,120,2625,82,4,1
"406",31,119,2720,82,4,1
